time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax	5 pax	6 pax	7 pax	8 pax
09:25:00	304.0466666666667	5.616666666666666	14.936666666666667	9.676666666666666	7.576666666666667	4.113333333333333	3.4466666666666668	0.5866666666666667	0.0	0.0
09:30:00	310.0833333333333	4.163333333333333	9.286666666666667	9.436666666666667	9.74	4.05	2.933333333333333	0.30666666666666664	0.0	0.0
09:35:00	308.9533333333333	5.09	11.646666666666667	10.606666666666667	4.38	5.72	3.1	0.5033333333333333	0.0	0.0
09:40:00	305.0733333333333	6.42	13.106666666666667	12.063333333333333	9.526666666666667	2.9766666666666666	0.49666666666666665	0.33666666666666667	0.0	0.0
09:45:00	307.71666666666664	5.413333333333333	16.453333333333333	10.313333333333333	6.116666666666666	2.64	0.8133333333333334	0.5333333333333333	0.0	0.0
09:50:00	308.5566666666667	7.23	12.203333333333333	12.106666666666667	5.68	3.46	0.7633333333333333	0.0	0.0	0.0
09:55:00	307.62333333333333	8.133333333333333	12.626666666666667	8.5	6.503333333333333	4.933333333333334	1.68	0.0	0.0	0.0
10:00:00	307.3233333333333	3.966666666666667	11.85	11.656666666666666	9.516666666666667	3.7866666666666666	1.8733333333333333	0.02666666666666667	0.0	0.0
10:05:00	304.37666666666667	5.98	14.726666666666667	9.653333333333334	8.46	4.366666666666666	1.52	0.9166666666666666	0.0	0.0
10:10:00	307.8066666666667	5.31	10.84	7.786666666666667	7.9	6.016666666666667	3.11	1.23	0.0	0.0
10:15:00	310.98333333333335	3.5766666666666667	8.22	9.21	8.386666666666667	6.43	2.1866666666666665	0.37333333333333335	0.6333333333333333	0.0
10:20:00	309.4866666666667	6.083333333333333	10.736666666666666	6.8	7.77	4.386666666666667	1.9233333333333333	2.1133333333333333	0.7	0.0
10:25:00	306.7733333333333	4.203333333333333	15.04	8.443333333333333	8.56	4.426666666666667	1.9	0.47333333333333333	0.18	0.0
10:30:00	304.29333333333335	4.683333333333334	11.21	13.236666666666666	10.32	4.3	1.0433333333333332	0.9133333333333333	0.0	0.0
10:35:00	305.17	5.286666666666667	13.46	10.266666666666667	8.29	4.493333333333333	2.4066666666666667	0.6266666666666667	0.0	0.0
10:40:00	306.93333333333334	4.66	8.696666666666667	12.7	10.263333333333334	5.486666666666666	0.26	0.19666666666666666	0.8033333333333333	0.0
10:45:00	303.32666666666665	4.7	14.37	14.113333333333333	6.406666666666666	5.58	0.98	0.5233333333333333	0.0	0.0
10:50:00	305.07666666666665	5.11	11.29	12.716666666666667	10.176666666666666	4.59	1.04	0.0	0.0	0.0
10:55:00	304.58666666666664	3.953333333333333	12.233333333333333	13.146666666666667	10.056666666666667	5.516666666666667	0.5066666666666667	0.0	0.0	0.0
11:00:00	300.18	4.933333333333334	15.493333333333334	17.123333333333335	8.36	2.26	1.2433333333333334	0.4066666666666667	0.0	0.0
11:05:00	302.70666666666665	6.1033333333333335	13.996666666666666	16.11	6.073333333333333	3.9966666666666666	0.9066666666666666	0.10666666666666667	0.0	0.0
11:10:00	299.8466666666667	6.533333333333333	17.65	11.26	8.216666666666667	3.953333333333333	2.16	0.38	0.0	0.0
11:15:00	297.1533333333333	5.91	15.65	14.696666666666667	8.793333333333333	6.003333333333333	1.7933333333333332	0.0	0.0	0.0
11:20:00	297.4533333333333	4.986666666666666	15.176666666666666	13.84	11.15	5.04	1.8933333333333333	0.46	0.0	0.0
11:25:00	297.49333333333334	5.176666666666667	10.853333333333333	14.5	12.446666666666667	6.0	3.53	0.0	0.0	0.0
11:30:00	296.0233333333333	5.033333333333333	13.563333333333333	14.986666666666666	10.953333333333333	6.773333333333333	1.56	1.1066666666666667	0.0	0.0
11:35:00	297.87333333333333	3.066666666666667	14.536666666666667	16.36	10.09	4.483333333333333	3.08	0.51	0.0	0.0
11:40:00	299.6566666666667	4.033333333333333	13.833333333333334	12.606666666666667	10.503333333333334	6.88	2.486666666666667	0.0	0.0	0.0
11:45:00	301.81333333333333	4.78	13.68	13.803333333333333	6.683333333333334	6.666666666666667	2.5733333333333333	0.0	0.0	0.0
