person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
12052000_12052000_11206;3595.274795719568;3595.274795719568;1.0;456.0;225.0;2.026666666666667
12052000_12052000_23998;22208.800119922078;10218.300486213173;2.173433845470373;2190.0;814.0;2.6904176904176906
12052000_12052000_8096;4524.311195763026;4050.2575743475936;1.1170428331318638;1052.0;315.0;3.33968253968254
additional_1919;9692.497837994892;5367.88664888357;1.8056450279200227;1822.0;405.0;4.498765432098765
additional_480;3025.372756098043;2935.0273861035434;1.0307817809204292;976.0;199.0;4.9045226130653266
additional_1613;10872.322274605594;5699.814305462287;1.9074871025511047;1606.0;392.0;4.096938775510204
12052000_12052000_7298;12080.604854337595;5058.848042012796;2.388014969813366;1585.0;329.0;4.817629179331307
12052000_12052000_29973;4305.212729752118;4305.212729752118;1.0;425.0;324.0;1.3117283950617284
additional_913;6494.028055184755;6029.224077188002;1.0770918400189124;1054.0;336.0;3.136904761904762
additional_629;14657.657436628444;7968.206900635262;1.8395176756090341;1925.0;531.0;3.6252354048964217
additional_680;9809.926391497047;4556.034474789873;2.153172116185422;1240.0;305.0;4.065573770491803
12052000_12052000_21490;12169.518005884252;9804.981679647475;1.2411566286905893;1675.0;565.0;2.9646017699115044
additional_1811;9408.036296778078;4705.337423675253;1.9994392430691257;1438.0;274.0;5.248175182481752
additional_1081;2578.6991232225814;2578.6991232225814;1.0;266.0;205.0;1.2975609756097561
12052000_12052000_22564;10780.156111530812;6157.5985733501075;1.750707842207673;1461.0;437.0;3.34324942791762
12052000_12052000_9285;5690.866238177383;4736.302084603988;1.2015420757633553;796.0;297.0;2.68013468013468
additional_350;14134.227793748067;5166.372704230715;2.7358126490126478;1669.0;381.0;4.380577427821522
12052000_12052000_30992;8967.130025637838;5582.847866442747;1.6061927962496088;1194.0;433.0;2.7575057736720554
additional_1727;2181.5625503751758;2181.5625503751758;1.0;231.0;170.0;1.3588235294117648
additional_2387;5437.869367924518;2960.2848821159932;1.8369412352089447;1070.0;220.0;4.863636363636363
