vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi125;145969.07;140686.93;5282.13;328749.92
taxi246;135403.4;128024.22;7379.18;333645.71
taxi126;113672.09;100632.91;13039.18;256163.54
taxi247;72538.57;68736.3;3802.26;156319.71
taxi240;65329.39;64823.48;505.92;150918.12
taxi120;223168.39;200006.16;23162.23;462820.75
taxi241;147096.47;141320.77;5775.7;332307.39
taxi121;143084.64;141834.78;1249.86;368136.19
taxi242;89665.31;82349.7;7315.61;194802.21
taxi122;137166.29;135514.86;1651.43;353233.68
taxi243;132988.26;123006.97;9981.29;320299.16
taxi127;141888.6;136950.83;4937.77;376511.24
taxi248;89092.46;88942.1;150.36;245168.04
taxi128;166864.7;163490.69;3374.01;359522.64
taxi249;157864.14;148385.22;9478.93;338504.71
taxi129;216912.28;201214.44;15697.84;442615.19
