Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
5873;453743.0558132379;5730812.111805134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2364;453312.5668688028;5731030.9015410375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6718;453364.64699551574;5737549.4629826825;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0
10623;453665.0696313144;5733125.528279351;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
3203;453401.47547059477;5732266.316896462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
3202;453361.7581445346;5732291.910375016;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
3201;453661.6299299977;5732717.083751078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
6711;453629.3796829782;5735196.949147795;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
602;456039.4136554006;5730317.845132092;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6710;453603.5041514266;5735061.903354054;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
603;455904.20745112805;5730310.228093567;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
5864;453830.87392626045;5730262.132377668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6713;453603.5041514266;5735061.903354054;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
604;457668.36442550377;5740571.423005964;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;1;3;0;0;0;0;0;0
4534;457035.5200769501;5734550.870137263;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
6712;453589.0930683497;5735010.1715059085;0;0;0;0;0;0;0;8;4;0;0;0;0;0;1;3;6;3;1;0;0;0;0;0
5866;453600.3537660514;5734434.028363556;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
3688;454549.8753255143;5731039.468090028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4535;457095.86600737454;5734493.486242741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
5867;453595.36658007314;5734504.7695318265;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
6715;453391.583112999;5737442.168887667;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
4536;456970.51154354354;5734588.274149349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6714;453364.64699551574;5737549.4629826825;0;0;0;0;0;0;1;6;4;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0
608;457652.7577276163;5740334.298978231;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0
