vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi343;63281.04;63092.35;188.7;171763.96
taxi102;45236.87;45114.67;122.21;120876.03
taxi223;26853.51;25907.98;945.53;65608.23
taxi344;51233.83;46615.33;4618.5;101888.72
taxi103;98208.1;90291.66;7916.44;225859.71
taxi224;36271.44;31569.27;4702.17;69023.29
taxi345;97386.26;97386.26;0;197784.75
taxi104;173137.18;166964.52;6172.65;343629.53
taxi225;78454.76;75621.91;2832.85;181948.01
taxi346;17782.71;17446.05;336.66;60443.34
taxi340;19707.01;17448.06;2258.95;45275.18
taxi220;138154.62;132021.09;6133.53;374948.58
taxi341;146979.21;145098.86;1880.36;388818.72
taxi100;103442.54;102356.08;1086.45;245443.98
taxi221;179910.9;178214.38;1696.52;484224.41
taxi342;70594.08;66219.99;4374.09;165736.98
taxi109;73624.22;69791.73;3832.49;182809.32
taxi105;102886.37;101478.54;1407.83;241010.83
taxi226;57535.77;52252.58;5283.19;102414.14
taxi347;52680.03;50992.24;1687.79;124896.67
taxi106;60525.22;52029.85;8495.37;114813.4
taxi227;79233.94;75349.96;3883.99;182860.39
taxi348;113619.6;108059.85;5559.75;257377.95
taxi107;140388.74;134183.31;6205.44;304022.74
taxi228;41166.25;39381.28;1784.97;95083.48
taxi349;45588.21;43895.26;1692.95;111607.74
taxi108;98628.43;96549.24;2079.18;248249.93
taxi229;99143.93;95023.79;4120.13;234884.54
taxi370;147045.52;140393;6652.52;371354.08
taxi250;29780.55;27452.35;2328.2;56476.07
taxi371;125434.05;118065.88;7368.17;252010.71
taxi134;19419.8;17171.12;2248.68;34249.29
taxi255;55477.83;54738.01;739.81;143105.92
taxi376;122019.26;111026.48;10992.77;284400.97
taxi135;139829.22;132105.91;7723.31;335067.17
taxi256;75654.7;69843.5;5811.2;132091.94
taxi377;168588.32;165991.28;2597.05;396310.49
taxi136;113139.7;110417.22;2722.49;303087.8
taxi257;105426.83;101771.13;3655.69;252075.74
taxi378;28941.81;28079.29;862.52;64327.74
taxi137;155510.56;144917.91;10592.65;348063.89
taxi258;93594.77;91074.4;2520.36;245844.38
taxi379;146918.27;139346.38;7571.89;311192.97
taxi130;31862.62;31260.53;602.09;109636.17
taxi251;114428.06;112116.75;2311.31;312348.7
taxi372;72783.12;69062.3;3720.82;196748.07
taxi131;148358.26;141234.26;7124;352404.06
taxi252;99754.78;98708.17;1046.61;316775.95
taxi373;9397.79;9397.79;0;24431.14
taxi132;155370.03;149359.26;6010.77;338234.72
taxi253;60699.87;60278.8;421.08;117994.86
taxi374;203744.51;200261.13;3483.38;529747.59
taxi133;83143.18;80999.61;2143.57;178442.25
taxi254;115898.32;107020.3;8878.02;228563.35
taxi375;33552.95;32747.76;805.18;114012.64
taxi138;41735.46;40130.13;1605.33;74660.63
taxi259;20313.97;19347.62;966.35;54643.7
taxi139;90219.68;82338.72;7880.96;192300.14
taxi360;18551.07;17889.01;662.06;31222.87
taxi123;66973.37;66013.27;960.1;176571.34
taxi244;43970.48;40248.51;3721.96;69445.91
taxi365;91177.78;90012.28;1165.5;252252.05
taxi124;151059.76;148022.72;3037.04;315679.74
taxi245;57174.13;51004.64;6169.49;133883.35
taxi366;61451.64;60680.43;771.21;179378.71
taxi125;83389.33;78832.37;4556.96;223352.34
taxi246;46024.51;45914.32;110.19;115008.83
taxi367;130275;126388.84;3886.15;321040.86
taxi126;118610.63;114393.48;4217.15;252871.56
taxi247;106602.79;102656.12;3946.67;257894.39
taxi368;81968.17;79506.31;2461.86;213401.24
taxi240;17427.45;17253.4;174.05;45947.97
taxi361;50301.54;45015.23;5286.3;140857.76
taxi120;95449.99;92330.58;3119.41;229888.47
taxi241;120236.21;116625.54;3610.67;239027.04
taxi362;48983.66;44011.58;4972.09;109093.34
taxi121;121705.51;112679.71;9025.8;280903.85
taxi242;76968.91;72220.54;4748.37;176424.58
taxi363;88725.94;85718.42;3007.52;192645.46
taxi122;168646.29;167738.26;908.03;392904.07
taxi243;184914.14;179871.25;5042.9;446527.8
taxi364;45438.16;43869.75;1568.4;112258.6
taxi127;67473.55;65938.54;1535.01;149152.7
taxi248;138559.1;128053.35;10505.74;279866.24
taxi369;41058.63;39632.69;1425.93;107248.29
taxi128;119728.71;116785.65;2943.05;308138.19
taxi249;103138.68;99196.73;3941.96;261825.35
taxi129;110708.9;104108.66;6600.24;256653.29
