departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
22717.0;12052000_12052000_1099;taxi339;8213;454752.89;5735769.62;3018;452571.85;5731232.32;831.0;24524.0;976.0;9527.05;6472.84;-2.21;23917;24539.5
22722.0;12052000_12052000_14223;taxi89;1086;456122.34;5728439.22;4803;454595.25;5737359.79;846.0;24440.0;872.0;12132.08;11344.23;-3.48;23922;24993
22724.0;12052000_12052000_31022;taxi313;1086;456122.34;5728439.22;329;454860.93;5730173.17;213.0;23515.0;578.0;4092.58;2648.59;-2;23924;24171.5
22727.0;12052000_12052000_23394;taxi390;8036;455614.28;5738043.5;3095;453469.9;5731980.2;300.0;24854.0;1827.0;18802.29;9593.74;-3.03;23927;24846.5
22731.0;12052000_12052000_25658;taxi68;6163;453802.42;5735621.77;3697;451931.41;5733832.5;621.0;24314.0;962.0;8173.59;4855.46;-2;23931;24541.5
22733.0;12052000_12052000_15900;taxi365;359;450762.11;5734837.74;329;454860.93;5730173.17;118.0;23947.0;1096.0;11415.42;8835.67;-2.82;23933;24767
22735.0;additional_1912;taxi152;5862;453706.36;5730306.45;5634;453727.04;5734233.78;159.0;23877.0;983.0;8567.82;5488.67;-2;23935;24481
22738.0;additional_309;taxi390;2036;455859.66;5738210.32;6016;455383.45;5734199.74;174.0;24038.0;1126.0;10063.09;7006.66;-2.33;23938;24586
22740.0;12052000_12052000_17850;taxi195;10964;457536.05;5730229.81;1743;456581.75;5732230.51;245.0;23755.0;770.0;5511.8;4055.45;-2;23940;24457.5
22745.0;additional_1837;taxi152;4951;454472.56;5730265.64;572;454066.45;5735478.31;375.0;24098.0;978.0;9733.74;6401.2;-2.21;23945;24587
22759.0;12052000_12052000_9285;taxi355;145;458509.18;5734611.83;1756;455760.85;5734792.38;264.0;24076.0;1053.0;8335.04;3499.96;-2;23959;24350.5
22766.0;12052000_12071000_36255;taxi34;9914;453944.99;5729351;5140;448598.45;5733717.06;229.0;24973.0;1978.0;21061.46;10216.27;-3.26;23966;25043
22766.0;additional_1091;taxi152;6906;454544.73;5730752.5;553;455209.95;5735059;497.0;24434.0;1171.0;11786.53;6456.31;-2.17;23966;24533
22767.0;12052000_12052000_3504;taxi152;6394;454312.18;5730221.44;6998;452444.07;5733153.44;265.0;23571.0;539.0;5222.15;5134.81;-2;23967;24547.5
22767.0;12052000_12052000_20369;taxi31;7033;454138.98;5744584.95;7039;452432.33;5744823.43;1100.0;24026.0;159.0;1929.28;1929.28;-2;23967;24205.5
