departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
56727.0;12052000_12052000_29537;taxi6;9706;454764.75;5736762.5;6163;453802.42;5735621.77;164.0;57114.0;223.0;2538.59;2538.59;-2;57427;58261.5
56729.0;12052000_12052000_19013;taxi191;8106;458008.69;5730179.61;2876;456018.55;5730799.16;620.0;57795.0;446.0;4016.78;2596.95;-2;57429;58233.5
56738.0;12052000_12052000_29128;taxi279;4723;457842.43;5740150.11;10922;456284.12;5731562.14;131.0;58371.0;1502.0;17974.88;11180.42;-3.41;57438;58952
56743.0;12052000_12052000_26432;taxi59;7918;453390.98;5736193.46;3668;455156.82;5734367.14;429.0;57902.0;730.0;5281.3;3633.37;-2;57443;58343.5
56746.0;additional_422;taxi259;3233;454313.07;5734662.66;4541;456725.1;5735752.06;463.0;58181.0;972.0;8481.06;4358.55;-2;57446;58612
56747.0;12052000_12052000_22514;taxi245;738;454680.69;5732236.81;9134;452560.6;5736269.51;532.0;58593.0;1314.0;13618.91;6219.94;-2.2;57447;58628
56752.0;12052000_12071000_35117;taxi173;8336;449117.03;5732412.89;1369;454854.86;5731082.9;224.0;58746.0;1770.0;15849.93;9464.68;-2.97;57452;58816
56757.0;12052000_12052000_23946;taxi276;1513;456980.21;5739691.7;7687;454465.74;5734072.57;210.0;58348.0;1381.0;13117.31;8090.07;-2.65;57457;58747.5
56758.0;12052000_12052000_28310;taxi256;1743;456581.75;5732230.51;2109;457365.38;5739218.31;130.0;58864.0;1976.0;20959.27;10650.04;-3.26;57458;58909
56759.0;12071000_12052000_49943;taxi288;3016;452965.17;5731054.79;3594;448326;5732494.58;120.0;57467.0;588.0;7782.68;7069.76;-2.35;57459;58617.5
56760.0;additional_885;taxi192;1579;454113.64;5733777.86;5825;455707.88;5730306.31;483.0;58245.0;1002.0;9195.05;5192.49;-2;57460;58441.5
56761.0;12052000_12052000_14117;taxi135;8276;455002.43;5730161.69;321;455101.66;5729733.75;355.0;57161.0;45.0;826.25;826.25;-2;57461;58028.5
56764.0;12052000_12052000_9393;taxi252;8590;457024.33;5734961.34;5293;456634.67;5737034.23;589.0;57773.0;420.0;3970.4;3795.3;-2;57464;58348
56766.0;12052000_12052000_23534;taxi279;5337;457623.43;5739756.34;1415;452313.07;5731177.14;351.0;58845.0;1728.0;22330.16;12955.74;-3.7;57466;58882.5
