time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax	5 pax	6 pax	7 pax	8 pax
08:10:00	157.48666666666668	6.583333333333333	36.03	36.2	30.11	22.763333333333332	8.783333333333333	1.5566666666666666	0.4866666666666667	0.0
08:15:00	162.07	8.72	29.2	35.81666666666667	34.42666666666667	19.516666666666666	6.296666666666667	3.6233333333333335	0.33	0.0
08:20:00	157.86	9.496666666666666	37.73	35.79333333333334	29.133333333333333	15.28	10.81	2.986666666666667	0.7133333333333334	0.19666666666666666
08:25:00	169.26	6.226666666666667	33.82333333333333	31.996666666666666	31.926666666666666	17.403333333333332	5.88	2.8033333333333332	0.68	0.0
08:30:00	178.33	8.16	26.76	33.7	23.706666666666667	18.186666666666667	8.713333333333333	1.8966666666666667	0.5466666666666666	0.0
08:35:00	184.99666666666667	5.1066666666666665	30.023333333333333	30.38	26.07	15.826666666666666	5.97	1.6266666666666667	0.0	0.0
08:40:00	193.16666666666666	5.703333333333333	25.973333333333333	34.78	21.456666666666667	10.923333333333334	6.21	1.5433333333333332	0.24333333333333335	0.0
08:45:00	201.37666666666667	8.016666666666667	31.316666666666666	28.276666666666667	17.43	9.626666666666667	3.06	0.8966666666666666	0.0	0.0
08:50:00	215.80666666666667	7.663333333333333	25.17	20.246666666666666	15.363333333333333	10.53	5.22	0.0	0.0	0.0
08:55:00	224.91	9.89	20.226666666666667	14.926666666666666	17.03	10.136666666666667	2.743333333333333	0.13666666666666666	0.0	0.0
09:00:00	232.98	7.07	20.63	18.026666666666667	10.07	6.81	2.37	2.0433333333333334	0.0	0.0
09:05:00	238.20333333333335	5.56	18.973333333333333	15.63	9.793333333333333	9.483333333333333	2.3566666666666665	0.0	0.0	0.0
09:10:00	244.89333333333335	6.126666666666667	16.513333333333332	13.446666666666667	9.983333333333333	6.56	2.38	0.09666666666666666	0.0	0.0
09:15:00	246.85666666666665	6.95	16.416666666666668	14.18	7.9366666666666665	5.026666666666666	1.8466666666666667	0.7866666666666666	0.0	0.0
09:20:00	251.67	4.376666666666667	16.533333333333335	11.886666666666667	8.026666666666667	5.1866666666666665	2.32	0.0	0.0	0.0
09:25:00	255.48	4.93	12.886666666666667	8.583333333333334	8.253333333333334	7.483333333333333	1.6133333333333333	0.77	0.0	0.0
09:30:00	258.51666666666665	5.126666666666667	11.046666666666667	7.58	6.866666666666666	6.596666666666667	3.743333333333333	0.5233333333333333	0.0	0.0
09:35:00	259.83666666666664	3.756666666666667	12.273333333333333	7.93	8.24	5.31	2.0433333333333334	0.61	0.0	0.0
09:40:00	259.3933333333333	6.383333333333334	10.33	8.706666666666667	8.043333333333333	6.17	0.9733333333333334	0.0	0.0	0.0
09:45:00	260.75	4.736666666666666	12.263333333333334	8.516666666666667	7.28	4.3566666666666665	1.99	0.10666666666666667	0.0	0.0
09:50:00	261.49666666666667	4.13	9.726666666666667	8.833333333333334	8.163333333333334	5.39	1.6733333333333333	0.5866666666666667	0.0	0.0
09:55:00	260.95666666666665	4.5633333333333335	9.546666666666667	8.246666666666666	6.586666666666667	6.453333333333333	3.6466666666666665	0.0	0.0	0.0
10:00:00	257.70666666666665	4.82	12.19	6.3	9.28	6.886666666666667	2.5033333333333334	0.23	0.08333333333333333	0.0
10:05:00	256.7733333333333	5.67	10.92	9.513333333333334	5.496666666666667	7.663333333333333	2.566666666666667	0.9333333333333333	0.4633333333333333	0.0
10:10:00	258.74666666666667	4.096666666666667	10.476666666666667	6.283333333333333	9.503333333333334	5.1066666666666665	4.8533333333333335	0.6266666666666667	0.30666666666666664	0.0
10:15:00	258.47333333333336	4.11	7.413333333333333	11.113333333333333	9.113333333333333	6.696666666666666	2.08	0.13333333333333333	0.8666666666666667	0.0
10:20:00	255.75666666666666	6.42	11.306666666666667	8.173333333333334	9.363333333333333	5.17	2.8366666666666664	0.5833333333333334	0.39	0.0
10:25:00	253.34333333333333	5.303333333333334	17.32	9.8	5.993333333333333	4.4366666666666665	2.3	1.5033333333333334	0.0	0.0
10:30:00	256.8233333333333	4.673333333333333	13.016666666666667	10.343333333333334	9.1	2.79	1.77	1.4833333333333334	0.0	0.0
10:35:00	258.0466666666667	3.6533333333333333	7.483333333333333	12.19	9.546666666666667	5.486666666666666	2.763333333333333	0.83	0.0	0.0
10:40:00	256.94	5.723333333333334	9.833333333333334	9.81	7.826666666666667	8.14	1.14	0.5866666666666667	0.0	0.0
10:45:00	255.33666666666667	7.043333333333333	11.0	8.836666666666666	7.93	6.27	2.8966666666666665	0.6866666666666666	0.0	0.0
10:50:00	254.18666666666667	4.49	12.036666666666667	10.26	9.7	4.71	3.2666666666666666	1.35	0.0	0.0
10:55:00	252.72	6.54	12.063333333333333	11.623333333333333	7.153333333333333	6.16	3.243333333333333	0.49666666666666665	0.0	0.0
