person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
12052000_12052000_15751;7408.987641489959;5011.2382610390905;1.4784744319767567;1495.0;291.0;5.13745704467354
additional_218;7299.634542701432;6028.836158741934;1.210786684278493;1837.0;411.0;4.469586374695864
12052000_12052000_6418;16274.687927600424;4008.423282017052;4.060122093545706;1636.0;338.0;4.840236686390533
additional_738;3865.6528922306934;3865.6528922306934;1.0;1413.0;299.0;4.725752508361204
additional_736;11201.468833251707;5557.362831175388;2.0156086931042765;1821.0;403.0;4.518610421836228
12052000_12052000_18786;17139.83810046227;7366.5143384417;2.3267229673360013;1973.0;534.0;3.694756554307116
12052000_12052000_10153;2854.8425761345397;3033.4896492894377;0.9411083953437112;1582.0;319.0;4.959247648902822
12052000_12052000_19014;9877.770588702846;3670.8937845873684;2.690835302883374;1551.0;275.0;5.64
12052000_12052000_6015;1340.3138510771555;1340.3138510771555;1.0;1095.0;102.0;10.735294117647058
12052000_12052000_20985;5968.8083460314665;5160.469089021323;1.1566406547671897;1766.0;410.0;4.307317073170732
12052000_12052000_28400;9704.969206501986;5217.876695460446;1.8599460609993548;1608.0;394.0;4.081218274111675
12052000_12052000_25667;7904.57924232832;7265.005154375869;1.0880349117945527;1861.0;640.0;2.9078125
12052000_12052000_20342;560.8767206679148;560.8767206679148;1.0;304.0;61.0;4.983606557377049
12052000_12052000_31515;7313.890734491868;3877.913857369201;1.886037442681528;1253.0;324.0;3.867283950617284
additional_1348;15742.409579870147;4146.826838359931;3.7962543876310657;1565.0;264.0;5.928030303030303
12052000_12052000_21323;12963.300730394849;12963.300730394849;1.0;829.0;768.0;1.0794270833333333
12052000_12052000_16206;8149.397250713311;1460.8529406853283;5.578519934313301;1368.0;145.0;9.434482758620689
12052000_12052000_12811;3928.3134951603433;3928.3134951603433;1.0;1099.0;234.0;4.696581196581197
12052000_12052000_11879;10742.34236900141;7948.003794467961;1.3515774082139203;1417.0;511.0;2.7729941291585125
12052000_12052000_24010;7643.570282085432;5642.857521793554;1.3545566678876488;1608.0;374.0;4.2994652406417115
additional_2275;3171.9952906604217;3171.9952906604217;1.0;1255.0;237.0;5.29535864978903
12052000_12052000_21954;1233.7930454989541;1233.7930454989541;1.0;1222.0;110.0;11.10909090909091
additional_1744;3571.5841700042815;2954.960485813241;1.2086740879113103;853.0;239.0;3.569037656903766
additional_1276;7049.016584376332;3570.644669375612;1.9741579566383938;1517.0;248.0;6.116935483870968
12052000_12052000_7430;9494.474453366538;8900.98427065998;1.0666769162442924;1926.0;539.0;3.5732838589981446
additional_1156;7110.020469993617;3917.8997579220436;1.8147530333355426;1622.0;273.0;5.941391941391942
12052000_12052000_31087;12916.384851609826;2578.6416407060224;5.008987929037463;1463.0;216.0;6.773148148148148
12052000_12052000_23082;14690.507678149836;8854.637814868134;1.6590749373715192;1963.0;559.0;3.511627906976744
12052000_12052000_23470;10739.218270027299;4778.297679192072;2.247498793721683;1380.0;353.0;3.909348441926346
12052000_12052000_21395;4921.598655173176;4029.8827946430756;1.221275879714283;1597.0;312.0;5.118589743589744
12052000_12052000_16233;7367.950016224376;4896.477082756122;1.504745124238816;1029.0;347.0;2.9654178674351583
12052000_12052000_27623;16570.76102082084;7813.598740084475;2.1207591497898814;2090.0;578.0;3.615916955017301
12052000_12052000_5982;20918.718074618046;9701.419418060885;2.1562533453274066;1999.0;573.0;3.4886561954624784
12052000_12052000_4349;15044.363911926503;6177.510218349759;2.4353442374305625;1775.0;572.0;3.1031468531468533
additional_2349;7986.302556557928;2760.6587342774606;2.89289742965936;1560.0;244.0;6.39344262295082
12052000_12052000_20050;18861.500815556257;11367.344628545847;1.6592706064520093;2212.0;711.0;3.111111111111111
12052000_12052000_9319;18688.185232749845;8260.871637980219;2.2622534342295024;2151.0;641.0;3.355694227769111
12052000_12052000_29910;16740.566551933636;8673.545851487946;1.930071834353858;1642.0;421.0;3.9002375296912115
12052000_12052000_18806;24531.663839358418;11646.862452008485;2.1062894784275543;2479.0;871.0;2.8461538461538463
12052000_12052000_27426;11915.103494002964;7358.378566234083;1.619256659161116;1440.0;549.0;2.622950819672131
12052000_12052000_21913;6625.235121807967;6175.750373703631;1.0727822079756077;1150.0;359.0;3.203342618384401
12052000_12052000_20569;5458.3351211772715;4834.92034805091;1.1289400296692946;1050.0;401.0;2.6184538653366585
additional_1449;7436.391235789613;4288.599167571739;1.7339907380526298;1660.0;326.0;5.0920245398773005
additional_470;12760.874957257716;5244.559332357992;2.433164380184509;1633.0;300.0;5.443333333333333
