time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax
17:55:00	204.74666666666667	7.023333333333333	15.27	11.156666666666666	10.223333333333333	1.58
18:00:00	206.03666666666666	6.21	19.64666666666667	8.03	7.286666666666667	2.79
18:05:00	209.43	7.493333333333333	10.66	11.78	7.6433333333333335	2.993333333333333
18:10:00	209.53	4.723333333333334	13.62	9.836666666666666	10.58	1.71
18:15:00	206.71	8.41	10.57	11.983333333333333	7.836666666666667	4.49
18:20:00	208.81	5.94	10.253333333333334	9.413333333333334	12.09	3.493333333333333
18:25:00	207.34333333333333	5.733333333333333	12.746666666666666	13.88	7.95	2.3466666666666667
18:30:00	209.30333333333334	6.176666666666667	14.023333333333333	9.006666666666666	8.95	2.54
18:35:00	214.50333333333333	6.233333333333333	8.69	10.613333333333333	6.943333333333333	3.0166666666666666
18:40:00	212.46333333333334	5.033333333333333	13.773333333333333	13.46	4.27	1.0
18:45:00	213.35666666666665	6.293333333333333	14.006666666666666	7.68	6.21	2.453333333333333
18:50:00	217.85333333333332	4.72	9.33	9.193333333333333	6.303333333333334	2.6
18:55:00	217.51666666666668	4.74	9.343333333333334	9.576666666666666	6.306666666666667	2.5166666666666666
19:00:00	217.71666666666667	5.073333333333333	9.176666666666666	10.126666666666667	6.176666666666667	1.73
19:05:00	217.94333333333333	5.236666666666666	11.026666666666667	8.016666666666667	7.206666666666667	0.57
19:10:00	221.93333333333334	6.09	8.953333333333333	8.933333333333334	3.0233333333333334	1.0666666666666667
19:15:00	222.95666666666668	6.31	8.366666666666667	4.973333333333334	5.483333333333333	1.91
19:20:00	223.99	4.88	6.553333333333334	5.846666666666667	6.75	1.98
19:25:00	222.81666666666666	5.98	7.843333333333334	8.17	3.6033333333333335	1.5866666666666667
19:30:00	223.7	5.63	6.876666666666667	7.533333333333333	5.093333333333334	1.1666666666666667
19:35:00	225.16333333333333	4.3	7.693333333333333	7.576666666666667	3.8	1.4666666666666666
19:40:00	226.86666666666667	5.54	7.366666666666666	6.623333333333333	2.9833333333333334	0.62
19:45:00	230.66666666666666	3.07	7.033333333333333	4.16	3.1933333333333334	1.8766666666666667
19:50:00	231.48	4.056666666666667	2.91	6.133333333333334	4.4366666666666665	0.9833333333333333
19:55:00	233.18	2.6033333333333335	4.8566666666666665	4.993333333333333	2.1133333333333333	2.2533333333333334
20:00:00	231.80666666666667	5.026666666666666	4.326666666666667	4.956666666666667	2.8833333333333333	1.0
20:05:00	233.52666666666667	2.44	6.0633333333333335	3.8333333333333335	2.87	1.2666666666666666
20:10:00	234.66333333333333	2.8	3.5866666666666664	4.15	4.523333333333333	0.27666666666666667
20:15:00	234.58666666666667	2.25	5.916666666666667	4.713333333333333	1.9933333333333334	0.54
20:20:00	235.33333333333334	4.006666666666667	3.6733333333333333	2.263333333333333	3.7733333333333334	0.95
20:25:00	234.81333333333333	2.6866666666666665	4.343333333333334	3.1433333333333335	2.53	2.4833333333333334
20:30:00	234.52333333333334	3.2733333333333334	4.423333333333333	5.3	2.34	0.14
20:35:00	234.66666666666666	3.67	5.596666666666667	5.346666666666667	0.72	0.0
20:40:00	234.81666666666666	2.033333333333333	6.276666666666666	5.273333333333333	1.2666666666666666	0.3333333333333333
20:45:00	234.05666666666667	3.52	5.666666666666667	2.89	2.94	0.9266666666666666
20:50:00	236.65333333333334	3.3066666666666666	2.9	3.8333333333333335	1.5166666666666666	1.79
20:55:00	237.05333333333334	1.4033333333333333	5.36	3.3666666666666667	2.5033333333333334	0.31333333333333335
21:00:00	235.66666666666666	3.203333333333333	4.08	3.66	2.86	0.53
21:05:00	237.37666666666667	0.83	6.203333333333333	2.723333333333333	2.43	0.43666666666666665
21:10:00	238.31666666666666	0.9066666666666666	4.64	4.333333333333333	1.4	0.4033333333333333
21:15:00	240.77	1.3433333333333333	4.8566666666666665	1.9066666666666667	0.5433333333333333	0.58
21:20:00	243.62666666666667	0.77	3.4233333333333333	1.5933333333333333	0.3233333333333333	0.2633333333333333
21:25:00	244.03	1.49	2.4066666666666667	1.11	0.9633333333333334	0.0
21:30:00	242.16	1.93	1.2833333333333334	3.28	1.3466666666666667	0.0
21:35:00	241.65	1.5066666666666666	2.933333333333333	1.07	1.31	1.53
21:40:00	243.55666666666667	1.4133333333333333	1.03	0.74	2.2733333333333334	0.9866666666666667
21:45:00	244.01	0.48333333333333334	1.8	2.3633333333333333	1.3433333333333333	0.0
21:50:00	244.33666666666667	1.79	1.9233333333333333	0.95	0.5	0.5
21:55:00	246.38	1.1366666666666667	1.85	0.31	0.3233333333333333	0.0
22:00:00	247.01666666666668	1.0166666666666666	1.31	0.6566666666666666	0.0	0.0
22:05:00	247.45333333333335	0.5466666666666666	1.24	0.5033333333333333	0.25666666666666665	0.0
22:10:00	247.0	0.59	0.6166666666666667	0.7933333333333333	0.4266666666666667	0.5733333333333334
22:15:00	247.0	0.0	0.8033333333333333	1.56	0.55	0.08666666666666667
22:20:00	247.0	0.0	1.34	1.0133333333333334	0.6466666666666666	0.0
22:25:00	246.46333333333334	1.38	1.0033333333333334	0.9666666666666667	0.18666666666666668	0.0
22:30:00	248.0	0.3466666666666667	1.6533333333333333	0.0	0.0	0.0
22:35:00	248.50333333333333	0.8866666666666667	0.61	0.0	0.0	0.0
22:40:00	249.0	0.37666666666666665	0.6233333333333333	0.0	0.0	0.0
22:45:00	249.39333333333335	0.2	0.4066666666666667	0.0	0.0	0.0
22:50:00	250.0	0.0	0.0	0.0	0.0	0.0
22:55:00	250.0	0.0	0.0	0.0	0.0	0.0
23:00:00	250.0	0.0	0.0	0.0	0.0	0.0
23:05:00	250.0	0.0	0.0	0.0	0.0	0.0
23:10:00	250.0	0.0	0.0	0.0	0.0	0.0
23:15:00	250.0	0.0	0.0	0.0	0.0	0.0
23:20:00	250.0	0.0	0.0	0.0	0.0	0.0
23:25:00	250.0	0.0	0.0	0.0	0.0	0.0
23:30:00	250.0	0.0	0.0	0.0	0.0	0.0
23:35:00	250.0	0.0	0.0	0.0	0.0	0.0
23:40:00	250.0	0.0	0.0	0.0	0.0	0.0
23:45:00	250.0	0.0	0.0	0.0	0.0	0.0
23:50:00	250.0	0.0	0.0	0.0	0.0	0.0
23:55:00	250.0	0.0	0.0	0.0	0.0	0.0
24:00:00	0.0	0.0	0.0	0.0	0.0	0.0
