person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
additional_712;5716.316587337103;2944.3301202858033;1.9414659205341502;1476.0;196.0;7.530612244897959
additional_1877;4358.974586604597;3467.976305794265;1.2569216748458343;553.0;230.0;2.4043478260869566
additional_1852;7405.1950896830685;3810.987980210384;1.9431168841614315;1083.0;301.0;3.5980066445182723
additional_219;5215.706385165521;2624.1734574188517;1.9875615959837167;1250.0;228.0;5.482456140350878
additional_150;3809.893148658734;3313.2672255608845;1.1498900901401874;865.0;215.0;4.023255813953488
additional_1926;4057.0029961833884;3811.87664917912;1.0643059494218041;1237.0;235.0;5.263829787234043
12052000_12052000_29030;10484.3048474651;6089.107936228695;1.721812941611047;1434.0;343.0;4.180758017492711
additional_839;9902.23352241227;4293.336194174605;2.3064193146225245;1641.0;342.0;4.798245614035087
additional_1462;7901.116676079715;4823.395957290377;1.6380817055123749;1537.0;334.0;4.6017964071856285
additional_1357;9018.865703498397;5562.395714524329;1.621399513153776;1608.0;477.0;3.3710691823899372
additional_93;7956.359449365606;4485.404339422005;1.773833270601168;1278.0;318.0;4.018867924528302
additional_1792;13563.686052359164;3255.1324248949604;4.166861522629713;1527.0;312.0;4.894230769230769
additional_262;4894.830038152506;4342.012312341782;1.1273183229442694;1253.0;293.0;4.276450511945392
additional_1253;10813.531119628175;4384.669627839332;2.4662134293928193;1360.0;341.0;3.9882697947214076
additional_458;4900.093012858778;4240.9468482602815;1.155424292777659;1155.0;338.0;3.4171597633136095
additional_1244;2359.151622582762;2359.151622582762;1.0;990.0;157.0;6.305732484076433
additional_961;5981.755931958949;3271.181537747305;1.828622429826465;958.0;249.0;3.8473895582329316
additional_893;8318.207006988247;5361.567783560238;1.5514504978364207;1215.0;409.0;2.9706601466992666
additional_1703;4001.995899760218;4001.995899760218;1.0;423.0;318.0;1.330188679245283
additional_142;4219.407920208948;3356.896924530298;1.256936991236135;860.0;237.0;3.628691983122363
additional_1856;4876.602352358578;1813.1999704853733;2.6895005690151024;1341.0;155.0;8.651612903225807
additional_1163;13239.529672859808;6963.931012279935;1.9011574999111445;1797.0;431.0;4.169373549883991
additional_953;6561.745893577062;3826.6244013965675;1.7147608976680029;1629.0;292.0;5.578767123287672
additional_1267;5669.02114911337;3627.0578057568987;1.5629806451155668;1030.0;262.0;3.931297709923664
additional_1987;11989.023323858071;5818.265556844348;2.06058372666657;1713.0;407.0;4.208845208845209
additional_751;8087.076228854579;5233.937789455767;1.5451227267444243;1047.0;318.0;3.292452830188679
additional_457;7537.300100749256;4839.513047047881;1.5574501044783904;1381.0;398.0;3.469849246231156
additional_1931;11449.01759658876;4246.093146599165;2.696365152930913;1605.0;285.0;5.631578947368421
additional_674;8213.543838094245;5320.578089270406;1.5437314705817131;1502.0;302.0;4.973509933774834
additional_1727;2181.5358777266797;2181.5358777266797;1.0;297.0;170.0;1.7470588235294118
additional_1015;9538.600194497316;3777.5500592430467;2.525075788514813;1149.0;268.0;4.287313432835821
additional_2138;10423.23800467154;3914.50608048971;2.662721117390008;1398.0;369.0;3.7886178861788617
additional_1148;8362.461517684274;4040.5367482852753;2.0696412478448907;1583.0;311.0;5.090032154340836
additional_68;6972.424989892537;3444.642000964185;2.0241363218415427;1141.0;280.0;4.075
additional_985;5646.9279313703655;3634.107922391062;1.5538690792801135;1246.0;260.0;4.792307692307692
additional_1942;10594.211581929292;5540.62220321345;1.9120978102034933;1434.0;394.0;3.6395939086294415
