RequestId;actualWaitTime;estimatedWaitTime;deviate
drt_9091;329.0;329.0;0.0
drt_9098;105.0;105.0;0.0
drt_9097;821.0;819.0;2.0
drt_9096;238.0;240.0;-2.0
drt_9095;92.0;94.0;-2.0
drt_9099;577.0;577.0;0.0
drt_6821;438.0;438.0;0.0
drt_6822;516.0;516.0;0.0
drt_6820;702.0;212.0;490.0
drt_6825;386.0;386.0;0.0
drt_6826;539.0;459.0;80.0
drt_6823;30.0;30.0;0.0
drt_6824;184.0;184.0;0.0
drt_9061;374.0;374.0;0.0
drt_9060;565.0;564.0;1.0
drt_9065;606.0;606.0;0.0
drt_9064;808.0;808.0;0.0
drt_9063;143.0;143.0;0.0
drt_9062;225.0;225.0;0.0
drt_9069;547.0;547.0;0.0
drt_9068;693.0;601.0;92.0
drt_9067;999.0;904.0;95.0
drt_9066;1083.0;946.0;137.0
drt_9072;136.0;138.0;-2.0
drt_9071;408.0;199.0;209.0
drt_9070;963.0;868.0;95.0
drt_9076;1148.0;1148.0;0.0
drt_9075;568.0;475.0;93.0
drt_9074;282.0;282.0;0.0
drt_9073;139.0;141.0;-2.0
drt_9079;699.0;697.0;2.0
drt_9078;61.0;61.0;0.0
drt_9077;611.0;559.0;52.0
drt_6800;226.0;223.0;3.0
drt_6803;129.0;131.0;-2.0
drt_6804;98.0;98.0;0.0
drt_6801;921.0;921.0;0.0
drt_6802;680.0;424.0;256.0
drt_119;422.0;221.0;201.0
drt_9043;792.0;792.0;0.0
drt_9042;458.0;458.0;0.0
drt_9041;866.0;713.0;153.0
drt_9040;115.0;117.0;-2.0
drt_120;183.0;185.0;-2.0
drt_9047;320.0;320.0;0.0
drt_121;429.0;429.0;0.0
drt_9046;86.0;86.0;0.0
drt_9045;251.0;251.0;0.0
drt_9044;200.0;200.0;0.0
drt_9049;145.0;145.0;0.0
drt_9048;61.0;61.0;0.0
drt_128;82.0;82.0;0.0
drt_129;78.0;78.0;0.0
drt_126;61.0;61.0;0.0
drt_127;175.0;177.0;-2.0
drt_124;218.0;220.0;-2.0
drt_125;515.0;454.0;61.0
drt_122;744.0;744.0;0.0
drt_123;627.0;627.0;0.0
drt_9050;184.0;184.0;0.0
drt_9054;583.0;384.0;199.0
drt_9053;211.0;211.0;0.0
drt_9052;348.0;348.0;0.0
drt_9051;1085.0;1033.0;52.0
drt_131;538.0;324.0;214.0
drt_9058;359.0;359.0;0.0
drt_132;558.0;558.0;0.0
drt_9057;174.0;174.0;0.0
drt_9056;173.0;175.0;-2.0
drt_130;72.0;72.0;0.0
drt_9055;546.0;436.0;110.0
drt_9059;740.0;740.0;0.0
drt_139;81.0;81.0;0.0
drt_137;875.0;835.0;40.0
drt_138;85.0;85.0;0.0
drt_135;522.0;334.0;188.0
drt_136;259.0;259.0;0.0
drt_133;892.0;379.0;513.0
drt_134;310.0;276.0;34.0
drt_9021;177.0;177.0;0.0
drt_9020;550.0;550.0;0.0
drt_142;89.0;89.0;0.0
drt_9025;285.0;285.0;0.0
drt_143;227.0;227.0;0.0
drt_9024;301.0;301.0;0.0
drt_140;702.0;597.0;105.0
drt_9023;169.0;169.0;0.0
drt_141;61.0;61.0;0.0
drt_9022;383.0;383.0;0.0
drt_9029;381.0;381.0;0.0
drt_9028;46.0;46.0;0.0
drt_9027;167.0;167.0;0.0
drt_9026;633.0;426.0;207.0
drt_148;120.0;122.0;-2.0
drt_149;171.0;173.0;-2.0
drt_146;91.0;91.0;0.0
drt_147;217.0;217.0;0.0
drt_144;317.0;317.0;0.0
drt_145;153.0;153.0;0.0
drt_9032;198.0;200.0;-2.0
drt_9031;316.0;244.0;72.0
drt_9030;736.0;529.0;207.0
drt_153;168.0;168.0;0.0
drt_9036;76.0;78.0;-2.0
drt_154;668.0;393.0;275.0
drt_9035;191.0;193.0;-2.0
drt_151;333.0;314.0;19.0
drt_9034;247.0;247.0;0.0
drt_152;210.0;210.0;0.0
drt_9033;570.0;320.0;250.0
drt_150;605.0;330.0;275.0
drt_9039;1044.0;863.0;181.0
drt_9038;452.0;451.0;1.0
drt_9037;251.0;251.0;0.0
drt_159;197.0;197.0;0.0
drt_157;778.0;503.0;275.0
drt_158;684.0;474.0;210.0
drt_155;392.0;373.0;19.0
drt_156;103.0;103.0;0.0
drt_1997;187.0;187.0;0.0
drt_1996;712.0;712.0;0.0
drt_1995;181.0;181.0;0.0
drt_1994;806.0;804.0;2.0
drt_1993;358.0;358.0;0.0
drt_1992;183.0;183.0;0.0
drt_1991;874.0;430.0;444.0
drt_1990;1109.0;475.0;634.0
drt_164;468.0;468.0;0.0
drt_9003;854.0;478.0;376.0
drt_165;72.0;72.0;0.0
drt_9002;1021.0;832.0;189.0
drt_162;463.0;392.0;71.0
drt_9001;1099.0;1099.0;0.0
drt_163;139.0;141.0;-2.0
drt_9000;570.0;569.0;1.0
drt_160;381.0;239.0;142.0
drt_9007;255.0;255.0;0.0
drt_161;390.0;329.0;61.0
drt_9006;1028.0;751.0;277.0
drt_9005;892.0;778.0;114.0
drt_9004;132.0;132.0;0.0
drt_9009;955.0;953.0;2.0
drt_9008;555.0;424.0;131.0
drt_168;873.0;873.0;0.0
drt_169;108.0;105.0;3.0
drt_1989;440.0;440.0;0.0
drt_166;85.0;85.0;0.0
drt_1988;461.0;225.0;236.0
drt_167;222.0;222.0;0.0
drt_1987;710.0;710.0;0.0
drt_1986;105.0;105.0;0.0
drt_1985;61.0;61.0;0.0
drt_1984;470.0;465.0;5.0
drt_1983;1212.0;949.0;263.0
drt_1982;61.0;61.0;0.0
drt_1981;631.0;631.0;0.0
drt_1980;295.0;295.0;0.0
drt_9010;935.0;737.0;198.0
drt_175;461.0;362.0;99.0
drt_9014;279.0;281.0;-2.0
drt_176;983.0;349.0;634.0
drt_9013;302.0;291.0;11.0
drt_173;101.0;103.0;-2.0
drt_9012;663.0;372.0;291.0
drt_174;371.0;272.0;99.0
drt_9011;576.0;576.0;0.0
drt_171;80.0;80.0;0.0
drt_9018;737.0;737.0;0.0
drt_172;70.0;70.0;0.0
drt_9017;333.0;335.0;-2.0
drt_9016;647.0;625.0;22.0
drt_170;95.0;95.0;0.0
drt_9015;871.0;871.0;0.0
drt_9019;467.0;467.0;0.0
drt_179;629.0;464.0;165.0
drt_1979;783.0;783.0;0.0
drt_1978;824.0;824.0;0.0
drt_177;539.0;539.0;0.0
drt_1977;1018.0;906.0;112.0
drt_178;215.0;212.0;3.0
drt_1976;748.0;506.0;242.0
drt_186;61.0;61.0;0.0
drt_187;221.0;221.0;0.0
drt_184;152.0;152.0;0.0
drt_185;298.0;298.0;0.0
drt_182;83.0;83.0;0.0
drt_183;212.0;214.0;-2.0
drt_180;480.0;394.0;86.0
drt_181;151.0;151.0;0.0
drt_188;439.0;439.0;0.0
drt_189;787.0;425.0;362.0
drt_190;61.0;61.0;0.0
drt_197;152.0;152.0;0.0
drt_198;155.0;157.0;-2.0
drt_195;1057.0;445.0;612.0
drt_196;158.0;160.0;-2.0
drt_193;251.0;251.0;0.0
drt_194;488.0;211.0;277.0
drt_191;182.0;182.0;0.0
drt_192;288.0;288.0;0.0
drt_199;61.0;61.0;0.0
drt_1999;117.0;117.0;0.0
drt_1998;647.0;616.0;31.0
drt_1832;166.0;165.0;1.0
drt_1831;395.0;397.0;-2.0
drt_1830;103.0;103.0;0.0
drt_1829;649.0;587.0;62.0
drt_1828;520.0;520.0;0.0
drt_1827;261.0;261.0;0.0
drt_1826;202.0;202.0;0.0
drt_1825;895.0;583.0;312.0
drt_1824;1101.0;975.0;126.0
drt_1823;428.0;426.0;2.0
drt_1822;137.0;137.0;0.0
drt_1821;266.0;266.0;0.0
drt_1820;847.0;847.0;0.0
drt_1819;316.0;234.0;82.0
drt_1818;818.0;813.0;5.0
drt_1817;1047.0;1047.0;0.0
drt_1816;111.0;111.0;0.0
drt_1815;718.0;718.0;0.0
drt_1814;1197.0;1192.0;5.0
drt_1813;1114.0;971.0;143.0
drt_1812;558.0;524.0;34.0
drt_1811;436.0;436.0;0.0
drt_1854;134.0;134.0;0.0
drt_1853;69.0;69.0;0.0
drt_1852;87.0;87.0;0.0
drt_1851;1132.0;932.0;200.0
drt_1850;371.0;371.0;0.0
drt_4091;844.0;844.0;0.0
drt_4090;153.0;153.0;0.0
drt_4093;659.0;395.0;264.0
drt_4092;893.0;400.0;493.0
drt_4095;64.0;64.0;0.0
drt_4094;193.0;193.0;0.0
drt_4097;906.0;257.0;649.0
drt_4096;363.0;363.0;0.0
drt_4099;333.0;333.0;0.0
drt_4098;670.0;485.0;185.0
drt_304;133.0;133.0;0.0
drt_305;78.0;78.0;0.0
drt_302;628.0;628.0;0.0
drt_1849;173.0;173.0;0.0
drt_303;176.0;176.0;0.0
drt_1848;280.0;280.0;0.0
drt_300;363.0;363.0;0.0
drt_1847;185.0;185.0;0.0
drt_301;456.0;281.0;175.0
drt_1846;354.0;354.0;0.0
drt_1845;20.0;20.0;0.0
drt_1844;159.0;161.0;-2.0
drt_1843;61.0;61.0;0.0
drt_1842;394.0;394.0;0.0
drt_1841;1103.0;1038.0;65.0
drt_1840;554.0;554.0;0.0
drt_308;184.0;184.0;0.0
drt_309;760.0;393.0;367.0
drt_306;65.0;65.0;0.0
drt_307;118.0;118.0;0.0
drt_315;180.0;180.0;0.0
drt_316;259.0;259.0;0.0
drt_1839;752.0;752.0;0.0
drt_313;180.0;180.0;0.0
drt_1838;464.0;464.0;0.0
drt_314;195.0;197.0;-2.0
drt_1837;583.0;580.0;3.0
drt_311;443.0;213.0;230.0
drt_1836;127.0;127.0;0.0
drt_312;337.0;339.0;-2.0
drt_1835;376.0;374.0;2.0
drt_1834;185.0;185.0;0.0
drt_310;949.0;621.0;328.0
drt_1833;654.0;654.0;0.0
drt_319;454.0;420.0;34.0
drt_317;405.0;405.0;0.0
drt_318;114.0;114.0;0.0
drt_4071;229.0;229.0;0.0
drt_4070;407.0;325.0;82.0
drt_4073;659.0;659.0;0.0
drt_4072;758.0;640.0;118.0
drt_4075;245.0;245.0;0.0
drt_4074;1050.0;355.0;695.0
drt_4077;451.0;208.0;243.0
drt_4076;176.0;176.0;0.0
drt_4079;617.0;617.0;0.0
drt_4078;164.0;166.0;-2.0
drt_326;271.0;273.0;-2.0
drt_327;652.0;652.0;0.0
drt_324;346.0;346.0;0.0
drt_325;382.0;382.0;0.0
drt_322;540.0;540.0;0.0
drt_323;881.0;587.0;294.0
drt_320;501.0;501.0;0.0
drt_321;220.0;220.0;0.0
drt_328;552.0;552.0;0.0
drt_329;149.0;149.0;0.0
drt_4080;1134.0;714.0;420.0
drt_4082;268.0;270.0;-2.0
drt_4081;473.0;473.0;0.0
drt_4084;61.0;61.0;0.0
drt_330;747.0;747.0;0.0
drt_4083;155.0;155.0;0.0
drt_4086;721.0;721.0;0.0
