time	STAY	0 pax	1 pax	2 pax	3 pax	4 pax	5 pax	6 pax
08:05:00	94.3	9.043333333333333	37.31666666666667	41.50666666666667	35.74666666666667	20.983333333333334	7.98	3.1233333333333335
08:10:00	101.24666666666667	9.01	31.626666666666665	42.38	38.516666666666666	20.48	6.26	0.48
08:15:00	107.54666666666667	10.093333333333334	25.57	42.70333333333333	40.44	19.223333333333333	3.4566666666666666	0.9666666666666667
08:20:00	108.68666666666667	9.396666666666667	34.19	41.223333333333336	30.57	18.613333333333333	6.68	0.64
08:25:00	115.08333333333333	7.1033333333333335	34.913333333333334	36.33	31.13	14.65	9.116666666666667	1.6733333333333333
08:30:00	124.32333333333334	8.913333333333334	28.723333333333333	31.89666666666667	29.093333333333334	18.293333333333333	7.86	0.8966666666666666
08:35:00	131.06	7.403333333333333	32.88333333333333	34.39	24.95	11.41	7.27	0.6333333333333333
08:40:00	140.40333333333334	5.49	34.75666666666667	33.2	20.21	11.61	3.46	0.87
08:45:00	152.50666666666666	7.323333333333333	32.39666666666667	25.756666666666668	15.266666666666667	10.99	4.526666666666666	1.2333333333333334
08:50:00	166.29	7.513333333333334	25.19333333333333	20.706666666666667	19.41	5.99	4.076666666666667	0.82
08:55:00	174.92333333333335	8.156666666666666	21.533333333333335	19.82	15.473333333333333	7.763333333333334	2.33	0.0
09:00:00	182.15666666666667	5.316666666666666	21.49	15.926666666666666	13.633333333333333	6.846666666666667	4.11	0.52
09:05:00	186.96333333333334	6.446666666666666	17.846666666666668	15.616666666666667	13.493333333333334	7.293333333333333	1.9	0.44
09:10:00	193.51666666666668	5.976666666666667	19.886666666666667	9.03	8.12	10.12	2.41	0.94
09:15:00	197.94666666666666	6.3	15.613333333333333	13.313333333333333	9.356666666666667	4.826666666666667	2.05	0.5933333333333334
09:20:00	198.86	5.6466666666666665	17.186666666666667	13.493333333333334	8.62	4.076666666666667	1.72	0.39666666666666667
09:25:00	202.13333333333333	7.3	12.413333333333334	10.743333333333334	8.633333333333333	4.503333333333333	3.5766666666666667	0.6966666666666667
09:30:00	209.31	3.716666666666667	11.186666666666667	9.26	8.896666666666667	5.616666666666666	2.013333333333333	0.0
09:35:00	209.81333333333333	4.266666666666667	8.066666666666666	12.286666666666667	7.66	6.166666666666667	1.74	0.0
09:40:00	209.39666666666668	6.09	11.5	7.756666666666667	7.473333333333334	6.076666666666667	1.7066666666666668	0.0
09:45:00	212.26666666666668	5.013333333333334	11.69	7.786666666666667	7.25	3.62	1.6233333333333333	0.75
09:50:00	211.10666666666665	4.366666666666666	11.27	12.686666666666667	4.3966666666666665	3.5966666666666667	1.8833333333333333	0.6933333333333334
09:55:00	210.70666666666668	4.863333333333333	8.513333333333334	10.126666666666667	9.826666666666666	4.966666666666667	0.9966666666666667	0.0
10:00:00	209.29	4.84	12.116666666666667	9.403333333333334	8.473333333333333	3.3466666666666667	1.8133333333333332	0.7166666666666667
10:05:00	208.43	4.746666666666667	12.25	10.4	6.476666666666667	4.443333333333333	2.32	0.9333333333333333
10:10:00	206.58666666666667	4.21	11.646666666666667	9.22	9.903333333333334	4.366666666666666	2.1866666666666665	1.88
10:15:00	205.49	4.1066666666666665	11.27	11.95	7.976666666666667	5.623333333333333	2.513333333333333	1.07
10:20:00	205.84	6.31	10.2	7.883333333333334	12.166666666666666	6.1	1.27	0.23
10:25:00	204.69333333333333	4.49	12.636666666666667	12.463333333333333	9.103333333333333	4.556666666666667	1.7366666666666666	0.32
10:30:00	206.49666666666667	2.65	12.276666666666667	15.03	7.426666666666667	4.256666666666667	1.55	0.31333333333333335
